Title,genres,rating,topcast,details
,,,,
Диана: История ее словами (2017) ,Documentary Biography ,7.8,"Tom Jennings, David Tillman, Tom Jennings"," Official Sites: network website    Country: UK  Language: English  Release Date: 6 August 2017 (UK)             Also Known As: Диана: История ее словами                 Filming Locations: Hotel Ritz, 15 Place Vendome, 75001 Paris, France           Production Co:  1895 Films                    Runtime: 112 min  Color: Color "
Biography: The Nine Lives of Ozzy Osbourne (2020) ,Documentary Biography Music ,8.0,"Greg Johnston, Christina Keating, Geezer Butler"," Official Sites: A&E website    Country: USA  Language: English  Release Date: 7 September 2020 (USA)             Production Co:  Critical Content, Osbourne Media                    Runtime: 86 min  Color: Color  Aspect Ratio: 16:9 HD     "
The Story of Diana (2017) ,Documentary Biography ,8.0,"Rebecca Gitlitz, Jess Cagle, Hillary Clinton", Official Sites: Official ABC site    Country: USA  Language: English  Release Date: 9 August 2017 (USA)             Also Known As: Diana története                          Runtime: 240 min  Color: Color  Aspect Ratio: 16:9 HD     
"Ван Гог: Портрет, написанный словами (2010) ",Documentary Biography ,8.0,"Andrew Hutton, Andrew Hutton, Alan Yentob"," Official Sites: BBC1 [UK]    Country: UK  Language: English  Release Date: 5 April 2010 (UK)             Also Known As: Ван Гог: Портрет, написанный словами                 Production Co:  British Broadcasting Corporation (BBC)                    Color: Color "
Спилберг (2017) ,Documentary Biography ,7.7,"Susan Lacy, Steven Spielberg, Martin Scorsese"," Country: USA  Language: English  Release Date: 7 October 2017 (USA)             Also Known As: Спилберг                 Production Co:  HBO Documentary Films, Pentimento Productions                    Runtime: 147 min  Color: Color  Aspect Ratio: 16:9 HD     "
Андрэ Гигант (2018) ,Documentary Biography Sport ,7.8,"Jason Hehir, Arnold Schwarzenegger, Robin Wright"," Official Sites: Official site    Country: USA  Language: English , French , Japanese  Release Date: 10 April 2018 (USA)             Also Known As: Андрэ Гигант                 Production Co:  Bill Simmons Media Group, Home Box Office (HBO), World Wrestling Entertainment (WWE)                    Runtime: 85 min "
Крылья надежды (1999) ,Documentary Adventure Biography ,7.5,"Werner Herzog, Werner Herzog, Werner Herzog"," Country: Germany , UK  Language: Spanish , English , German  Release Date: 1 February 2000 (Germany)             Also Known As: Крылья надежды                 Filming Locations: Peru           Production Co:  Werner Herzog Filmproduktion, ZDF Enterprises, BBC Bristol                    Runtime: 65 min  Sound Mix: Mono  Color: Color  Aspect Ratio: 1.33 : 1     "
Джордж Майкл: Свобода (2017) ,Documentary Biography Music ,7.8,"David Austin, George Michael, 2 more credits"," Country: UK  Language: English  Release Date: 16 October 2017 (UK)             Also Known As: Джордж Майкл: Свобода                 Production Co:  Coffee & TV, Halo Post Production                    Runtime: 95 min  Color: Color "
What The Durrells Did Next (2019) ,Documentary Biography ,7.6,"Toby Roebuck, Ewen Thomson, Keeley Hawes"," Official Sites: itv.com    Country: UK  Language: English  Release Date: 19 May 2019 (UK)             Production Co:  Burning Bright Productions, ITV Hub, Sid Gentle Films                    Runtime: 47 min  Color: Color "
ReMastered: Devil at the Crossroads (2019) ,Documentary Biography ,7.0,"Brian Oakes, William Wheeler, Jeff Zimbalist"," Country: USA  Language: English  Release Date: 26 April 2019 (USA)             Also Known As: ReMastered: O Diabo na Encruzilhada                 Production Co:  All Rise Films, Triage Entertainment                    Runtime: 48 min "
